feature,fold_1,fold_2,fold_3,fold_4,fold_5,mean_imp,std_imp,pos_ratio
heading_std,0.0004850635833808514,0.0003407839075317831,0.0005449535498256441,0.00042420347458982377,0.0005537886234916467,0.00046975862776394984,8.896531429717444e-05,1.0
ix_alt_stability,0.0004963736082970183,0.00023741209858951784,7.18167686672988e-05,0.00041201260118117755,0.0010760824514691736,0.0004587395056408372,0.0003819054423369353,1.0
turn_rate_mean,0.0005725946784472802,0.0008024596581006627,0.00037292475358163824,0.00024471026414618624,0.000259888171140088,0.00045051550508317105,0.00023636989749882198,1.0
hull_perimeter,4.655872019998508e-05,0.0003076967545605491,5.369060664250913e-05,0.0016165128432905629,0.0002213261739624217,0.0004491570197312056,0.000662026546743121,1.0
rv_iqr,0.0002992347179937571,0.00023446884349198616,0.0005055710927999169,0.000614902673092943,0.0005881748248273144,0.00044847043044118353,0.0001721521652007038,1.0
hd_mean_cos_turn,0.00029446383303233237,0.00025828128717508836,0.0006584357133244678,0.00048250619869405487,0.0004926560924793932,0.0004372686249410673,0.00016314009799556233,1.0
curv_p90,0.00011465718424152893,0.0007014776759628472,0.0005700494433235059,0.000656475214275587,0.0001173415977167025,0.0004320002231040343,0.0002923103493331537,1.0
turn_iqr,0.0003511000924310004,0.0009847982425787993,0.0003678083670256571,0.00043880649119376613,-6.203510397373435e-05,0.0004160956178510977,0.0003738661268454967,0.8
alt_cv,0.0003716997256153487,0.0003635998404076801,6.107697335888673e-06,0.0006355754490169341,0.0006849959588461907,0.00041239573424440846,0.000270752304167263,1.0
ix_motion_smoothness,0.0003754713827791578,-0.00010211044255858948,0.000520077125328644,0.001044853995668782,0.00021313236922848589,0.00041028488608929603,0.00042348623306051624,0.8
displacement,0.0004042151697499774,0.0002617789280784377,0.0007307067521992172,0.00045749072559264636,0.0001746002381731726,0.00040575836275869026,0.00021356160164094187,1.0
ix_displacement_area_ratio,0.0001791526905434715,0.00021611449841607566,0.0006605651876038232,0.0007559594118966562,0.00021295430970003082,0.00040494921963201146,0.00027930822941722933,1.0
curvature_mean,0.0004117448668751189,0.0008076869117265018,0.00027819667641226786,0.00023840313480316677,0.0002469217468200613,0.0003965906673274233,0.00024014109926235444,1.0
alt_min,0.0006050671992405832,0.00039765049203832614,0.0005961372781009278,0.00022071705634107985,0.00014649690359613832,0.000393213785863411,0.00021018077844720635,1.0
hull_area,8.893134654686108e-06,-0.00010486983693180907,0.0014831002193856913,0.0007309223239327922,-0.0001592757022158553,0.00039175402776510105,0.0007076233342804536,0.6
